idx,annotation,so_title,so_api,target_api,overlap_api,unk_token
1551523,create a new instance by parsing a string,Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . trim Math . min String . substring String . length String . substring String . length String . trim String . length Math . min String . substring Integer . parseInt,string.trim math.min string.substring string.length string.substring string.length string.trim string.length math.min string.substring integer.parseint,FALSE
1010493,"step to the first , and after that , next , number n that appears in <unk> , <unk> , or both",who can access each LinkedHashMap from List Of LinkedHashMap,java.util.List.get,List < Long > . size Math . min List < Long > . get List < Long > . size List < Long > . get,list.size math.min list.get list.size list.get,FALSE
102879,get tokens found in a line already analyzed,What exception to use to prevent a method from being called multiple times?,java.util.Iterator.hasNext,ArrayList < ArrayList < String > > . size ArrayList < ArrayList < String > > . get,arraylist.size arraylist.get,FALSE
1523309,example com,"What are the major differences between a Collection, an ArrayList, and a List in Java?",java.util.List.get,String . split String . startsWith String . length String . substring String . endsWith String . length String . substring,string.split string.startswith string.length string.substring string.endswith string.length string.substring,FALSE
261948,determine if time t2 is the day after time t1,How to pop-up error in java swing to check whether the check-in date in hotel should be earlier than check-out date?,"java.util.Date.before,java.util.Date.after,java.util.Date.before,java.util.Date.after",Calendar . getInstance Calendar . setTimeInMillis Calendar . getInstance Calendar . setTimeInMillis Calendar . add Calendar . get,calendar.getinstance calendar.settimeinmillis calendar.getinstance calendar.settimeinmillis calendar.add calendar.get,FALSE
1445765,transform an attribute,"How can we know, that some method is applied?",java.util.Map.put,String . equalsIgnoreCase String . substring System . currentTimeMillis String . equals String . equalsIgnoreCase String . equals,string.equalsignorecase string.substring system.currenttimemillis string.equals string.equalsignorecase string.equals,FALSE
1088600,"split the map up into multiple maps , using the keys prefix up to the first dot to tell which map to include it in","Read file and store values into two arrays, one for each line","java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring","Map < String , String > . entrySet Entry < String , String > . getKey String . indexOf String . substring String . length String . substring Entry < String , String > . getValue Map < String , Map < String , String > > . get Map < String , Map < String , String > > . put Map < String , String > . put",map.entryset entry.getkey string.indexof string.substring string.length string.substring entry.getvalue map.get map.put map.put,FALSE
1333348,close a database result set,Where to close statements in JDBC,java.sql.Statement.close,ResultSet . close Object . toString,resultset.close object.tostring,FALSE
1504818,fetch the error string from <unk>,Search for CharSequences between two CharSeqeunces (Java),"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . length String . trim String . substring,string.length string.trim string.substring,FALSE
768516,start the service,How is task scheduling implemented?,"java.lang.Object.wait,java.lang.Object.notifyAll,java.lang.Object.wait,java.lang.Object.notifyAll",Iterator . hasNext Iterator . next Class . cast List . iterator Iterator . hasNext Iterator . next Class . cast,iterator.hasnext iterator.next class.cast list.iterator iterator.hasnext iterator.next class.cast,FALSE
1422599,provide a <unk> version of the students name,Error trying to convert list to an array[],"java.lang.String.split,java.util.Arrays.asList,java.lang.String.split,java.util.Arrays.asList",String . charAt String . toLowerCase String . length String . substring,string.charat string.tolowercase string.length string.substring,FALSE
1298830,obtain the current high pressure of the patient attached,Decreasing chance of choosing a number from a list of consecutive numbers,"java.lang.Math.abs,java.lang.Math.min,java.lang.Math.abs,java.lang.Math.min",Random . nextInt Random . nextDouble,random.nextint random.nextdouble,FALSE
261951,find 2nd date in next week,"Add 1 Week to a Date, which way is preferred?",java.util.Calendar.getInstance,Calendar . getInstance Calendar . setTimeInMillis Calendar . getInstance Calendar . setTimeInMillis Calendar . get Date . after Calendar . get Date . after,calendar.getinstance calendar.settimeinmillis calendar.getinstance calendar.settimeinmillis calendar.get date.after calendar.get date.after,FALSE
1424863,extract the value between,easiest way to get every word except the last word from a string,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . contains String . indexOf String . substring,string.contains string.indexof string.substring,FALSE
1500440,read user id from the uid,Java regexp substring extraction pattern,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . length String . substring String . indexOf String . substring,string.length string.substring string.indexof string.substring,FALSE
1096481,set the current <unk> skin instance for the specified id,What are the differences between PHP and Java?,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",Map < String > . get Map < String > . put Map < String > . remove,map.get map.put map.remove,FALSE
778883,append fetch joins based on the model descriptor,"Java: index in array exists, ArrayIndexOutOfBoundsException: 0",java.util.ArrayList.add,Iterator < String > . hasNext Iterator < String > . next String . equals StringBuffer . append,iterator.hasnext iterator.next string.equals stringbuffer.append,FALSE
1098694,add the specified authentication info for the given repository identifier,Java Map with multiple keys,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",Map < String > . put Map < String > . remove,map.put map.remove,FALSE
1068888,get a counter,Java Map with multiple keys,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",Map < Long > . containsKey Map < Long > . get,map.containskey map.get,FALSE
1440132,normalize a full class name to binary form,Java convert long day name to short name,java.lang.String.substring,String . equals String . length String . equals String . indexOf String . substring String . indexOf String . lastIndexOf String . substring String . lastIndexOf String . length String . replace String . substring String . replace,string.equals string.length string.equals string.indexof string.substring string.indexof string.lastindexof string.substring string.lastindexof string.length string.replace string.substring string.replace,FALSE
973734,add a new station to the map,Access an ArrayList inside a Java Map,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",List . contains List . add,list.contains list.add,FALSE
1439838,"set the state to ON , off or resets the state",Hashmap internal flow while getting Value,"java.lang.Object.equals,java.lang.String.equals,java.lang.Object.equals,java.lang.String.equals",String . equals String . isEmpty,string.equals string.isempty,FALSE
763926,<unk> new predicate with trailing ~ followed by distance,Binary search for strings,java.util.Arrays.sort,Integer . valueOf Set < Predicate > . add,integer.valueof set.add,FALSE
1076596,find the best position for the move of a <unk>,What exception to use to prevent a method from being called multiple times?,java.util.Iterator.hasNext,"Map < String , Integer > . entrySet Entry < String , Integer > . getKey Entry < String , Integer > . getValue",map.entryset entry.getkey entry.getvalue,FALSE
1511499,"take the time in HH : MM : SS , mmm , <unk> format and returns milliseconds since midnight",Android/Java Time difference ISO 8601 with Now,"java.lang.System.currentTimeMillis,java.util.Date.getTime,java.lang.System.currentTimeMillis,java.util.Date.getTime",String . matches String . split Integer . parseInt,string.matches string.split integer.parseint,FALSE
1462446,edit the file path so that it ends in the desired extension,Regular expression to extract file name?,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . indexOf String . substring String . toLowerCase String . length String . substring,string.indexof string.substring string.tolowercase string.length string.substring,FALSE
1013533,"check if the entrys regex sequence is contained in the tokenized document , starting the search from index search start",StringBuilder .equals Java,"java.lang.String.equalsIgnoreCase,java.lang.String.equals,java.lang.String.equalsIgnoreCase,java.lang.String.equals",List < Pattern > . size List . size List < Pattern > . size List < Pattern > . get List . get String . equals String . equalsIgnoreCase String . equals Set < String > . contains,list.size list.size list.size list.get list.get string.equals string.equalsignorecase string.equals set.contains,FALSE
1091972,add mappings for the specified types,Using string as name for objects in Java,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put","Map < String , String > . put Class . getName Class . getSimpleName",map.put class.getname class.getsimplename,FALSE
1198301,send an object to the server,What' the default value for an 'object' in java?,"java.lang.Object.toString,java.io.PrintStream.println,java.lang.Object.toString,java.io.PrintStream.println",ObjectOutputStream . writeObject JOptionPane . showMessageDialog System . exit,objectoutputstream.writeobject joptionpane.showmessagedialog system.exit,FALSE
1529923,convert string value of form x to char x,Grab next numbers in a string,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . startsWith String . substring String . length String . substring String . startsWith String . length Long . parseLong String . charAt String . substring Long . parseLong String . charAt String . length String . charAt,string.startswith string.substring string.length string.substring string.startswith string.length long.parselong string.charat string.substring long.parselong string.charat string.length string.charat,FALSE
561083,resolve a bundle that contains tld files as a url,Access an ArrayList inside a Java Map,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",File . isDirectory File . listFiles File . getName Set < URL > . add File . toURI File . getName File . isDirectory File . getName File . toURI Set < URL > . add File . toURI Set < URL > . add File . toURI,file.isdirectory file.listfiles file.getname set.add file.touri file.getname file.isdirectory file.getname file.touri set.add file.touri set.add file.touri,FALSE
547906,"java exception : impossible de <unk> le <unk> waits for nfs to propagate a file creation , <unk> a timeout",I get exception when using Thread.sleep(x) or wait(),"java.lang.System.currentTimeMillis,java.lang.Thread.sleep,java.lang.System.currentTimeMillis,java.lang.Thread.sleep",File . exists Thread . sleep,file.exists thread.sleep,FALSE
1094731,invoke this method whenever you have new information about a peer,Is it safe to use hashmap value reference when it may be updated in another thread,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",Map < String > . containsKey Map < String > . put Map < String > . size Map < String > . put Map < String > . remove,map.containskey map.put map.size map.put map.remove,FALSE
1088961,add test run metrics,Marshalling List of Object without affecting existing list,java.util.List.add,"Map < String , String > . entrySet Map < String , String > . get Entry < String , String > . getKey Map < String , String > . put Map < String , String > . putAll",map.entryset map.get entry.getkey map.put map.putall,FALSE
97573,get the id of the current player,Time for getting by comparable key from HashMap,java.util.HashMap.get,ArrayList . size ArrayList . get,arraylist.size arraylist.get,FALSE
1666846,"<unk> <unk> <unk> <unk> do <unk> <unk> , <unk> <unk>",easiest way to get every word except the last word from a string,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",System . arraycopy Arrays . fill,system.arraycopy arrays.fill,FALSE
757347,input predictions,How to get array of strings or integers from users inside looping statement?,"java.util.Scanner.nextInt,java.util.Scanner.nextLine,java.util.Scanner.nextInt,java.util.Scanner.nextLine",Integer . parseInt BufferedReader . readLine Double . parseDouble BufferedReader . close,integer.parseint bufferedreader.readline double.parsedouble bufferedreader.close,FALSE
1012788,"get a single field , reusing the get multiple implementation",The correct way to return the only element from a set,java.util.List.get,List < Object > . size List < Object > . get,list.size list.get,FALSE
1521207,create an <unk> : header from a header string,Need to Trim Java String,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . split List < MimeType > . add String . trim List < MimeType > . add,string.split list.add string.trim list.add,FALSE
1367525,count number of <unk> with specific number of closed roads,What exception to use to prevent a method from being called multiple times?,java.util.Iterator.hasNext,Set . iterator Iterator . next,set.iterator iterator.next,FALSE
1438939,"load a class , but check if it is allowed to load this class first",java.lang.ClassNotFoundException while attempting to load dynamically a class in glassfish,"java.lang.Thread.currentThread,java.lang.Class.forName,java.lang.Thread.currentThread,java.lang.Class.forName",String . equals String . endsWith String . length String . substring ArrayList < String > . add HashSet < String > . add ArrayList < String > . size ArrayList < String > . toArray HashSet < String > . contains Class . forName Thread . currentThread,string.equals string.endswith string.length string.substring arraylist.add hashset.add arraylist.size arraylist.toarray hashset.contains class.forname thread.currentthread,FALSE
1045657,"when single selection is enabled , this will return the selected option","Updating mapped values for a TreeMap<String, TreeSet<String>>","java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",Map  . keySet Map  . get,map.keyset map.get,FALSE
1551749,"return the period in seconds from strings like <unk> , <unk> , <unk> etc",Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . trim Pattern . compile Pattern . matcher Matcher . group String . charAt String . length String . substring Long . parseLong,string.trim pattern.compile pattern.matcher matcher.group string.charat string.length string.substring long.parselong,FALSE
1335833,<unk> p,How to iterate through ArrayList of objects?,java.util.ArrayList.get,ResultSet . next ResultSet . getString ResultSet . close,resultset.next resultset.getstring resultset.close,FALSE
355324,this method executes a delete query on the database to which this object has a connection,java.sql.SQLException: No suitable driver found for jdbc:sqlserver,"java.lang.Class.forName,java.sql.DriverManager.getConnection,java.lang.Class.forName,java.sql.DriverManager.getConnection",Connection . createStatement Statement . executeUpdate,connection.createstatement statement.executeupdate,FALSE
1401209,get a rating for a uid and mid,"What are the major differences between a Collection, an ArrayList, and a List in Java?",java.util.List.get,Statement . executeQuery ResultSet . next ResultSet . getInt Statement . close,statement.executequery resultset.next resultset.getint statement.close,FALSE
259873,"this method create a calendar instance and set the desired time for executing something , then return the calendar <unk> using in timer class",Will System.currentTimeMillis() have the details of date?,"java.lang.System.currentTimeMillis,java.util.Date.getTime,java.lang.System.currentTimeMillis,java.util.Date.getTime",Calendar . getInstance Calendar . set,calendar.getinstance calendar.set,FALSE
967754,add a specific tt chat contact tt to this tt abstract list model tt implementation and preserves the sorting it applies,HashMap have old value around till they stop being referenced,java.util.HashMap.put,List  . size List  . get Comparator  . compare List  . add,list.size list.get comparator.compare list.add,FALSE
969310,add a new variable to the end of the var list,Hibernate: @OrderBy,java.util.List.add,"List . add List . size Map < String , Integer > . put",list.add list.size map.put,FALSE
982143,find breakpoint at,Search for CharSequences between two CharSeqeunces (Java),"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",List . isEmpty List . toArray List . size,list.isempty list.toarray list.size,FALSE
1006066,return all available components of the specified type,Java: is a final reference to an array of enums immutable?,"java.util.Collections.unmodifiableList,java.util.Arrays.asList,java.util.Collections.unmodifiableList,java.util.Arrays.asList",List < Entry > . get List < Entry > . size List < Entry > . get,list.get list.size list.get,FALSE
1092093,interface method,Marshalling List of Object without affecting existing list,java.util.List.add,"Map < String , String > . put Integer . toString Map < String , String > . put",map.put integer.tostring map.put,FALSE
1497708,clean from glob var,Delete Last and First Char in a String,java.lang.String.substring,String . length String . replace,string.length string.replace,FALSE
1022056,"batch executes the given sql statements , which may be an INSERT , <unk> , or delete statement or an sql statement that returns nothing , such as an sql ddl statement",Java statement can't execute my query,"java.sql.Statement.executeQuery,java.sql.Statement.executeUpdate,java.sql.Statement.executeQuery,java.sql.Statement.executeUpdate",List < String > . size Statement . addBatch List < String > . size Statement . executeBatch System . arraycopy Statement . executeBatch System . arraycopy,list.size statement.addbatch list.size statement.executebatch system.arraycopy statement.executebatch system.arraycopy,FALSE
1045000,<unk> the test structure in the test protocol,Access an ArrayList inside a Java Map,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",Map  . get Map < String > . get,map.get map.get,FALSE
555817,<unk> um arquivo no servidor,When are Java temporary files deleted?,"java.io.File.createTempFile,java.io.File.deleteOnExit,java.io.File.createTempFile,java.io.File.deleteOnExit",File . getParent File . delete,file.getparent file.delete,FALSE
1065591,parse the string argument as a roman number into a an integer value that is returned,Time for getting by comparable key from HashMap,java.util.HashMap.get,"Map < Integer , String > . entrySet Entry < Integer , String > . getValue Entry < Integer , String > . getKey",map.entryset entry.getvalue entry.getkey,FALSE
555101,get file extension,easiest way to get every word except the last word from a string,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",File . getName String . lastIndexOf String . substring,file.getname string.lastindexof string.substring,FALSE
1419738,parse xml duration in the format of <unk>,convert String to arraylist of integers using wrapper class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . charAt String . indexOf String . substring String . indexOf String . substring Integer . parseInt String . indexOf String . substring Integer . parseInt String . indexOf String . substring Integer . parseInt String . indexOf String . substring Integer . parseInt String . indexOf String . substring Integer . parseInt String . indexOf String . substring Double . parseDouble String . indexOf,string.charat string.indexof string.substring string.indexof string.substring integer.parseint string.indexof string.substring integer.parseint string.indexof string.substring integer.parseint string.indexof string.substring integer.parseint string.indexof string.substring integer.parseint string.indexof string.substring double.parsedouble string.indexof,FALSE
1438723,encapsulate the logic of determining a new page number from the previous page,Constrain Rectangle within Rectangle,"java.lang.Math.max,java.lang.Math.min,java.lang.Math.max,java.lang.Math.min",String . equals String . charAt String . valueOf Matcher . replaceFirst Pattern . matches String . substring Integer . parseInt String . format Integer . parseInt String . format,string.equals string.charat string.valueof matcher.replacefirst pattern.matches string.substring integer.parseint string.format integer.parseint string.format,FALSE
1073661,retrieve the number of sub nodes of this parsed node that have the specified name,who can access each LinkedHashMap from List Of LinkedHashMap,java.util.List.get,"Map < String , ArrayList > . get ArrayList . size",map.get arraylist.size,FALSE
997186,find the coordinate operation method object with the coord op method code value = = the given value,The correct way to return the only element from a set,java.util.List.get,List . size List . get,list.size list.get,FALSE
1552536,convert a string which represents a polling interval into an int which can be used as delay for thread,convert String to arraylist of integers using wrapper class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . trim String . charAt String . length String . substring Integer . parseInt,string.trim string.charat string.length string.substring integer.parseint,FALSE
974136,return the amount of items in the adapter belonging to a header,Can't invoke HashMap's getEntry via reflection on Java 8,java.util.HashMap.get,List . contains List . indexOf List < Integer > . get,list.contains list.indexof list.get,FALSE
543872,wrapper for file,Creating a file just to be uploaded into the online form,"java.io.File.createTempFile,java.io.File.deleteOnExit,java.io.File.createTempFile,java.io.File.deleteOnExit",File . exists File . delete,file.exists file.delete,FALSE
1232568,find the point at which to insert a mnemonic of the form and x,Minimum base associated with a number,"java.lang.Character.isLetter,java.lang.Character.isDigit,java.lang.Character.isLetter,java.lang.Character.isDigit",Pattern . matcher Matcher . find Matcher . start String . length,pattern.matcher matcher.find matcher.start string.length,FALSE
1500510,return the uri from this request,Search for CharSequences between two CharSeqeunces (Java),"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . length String . substring String . lastIndexOf String . substring String . length String . substring,string.length string.substring string.lastindexof string.substring string.length string.substring,FALSE
566717,locate the properties files,Will a single webapp reload pick up a modified Tomcat setenv.sh?,"java.lang.System.getProperty,java.lang.System.setProperty,java.lang.System.getProperty,java.lang.System.setProperty",File . listFiles String . startsWith String . endsWith,file.listfiles string.startswith string.endswith,FALSE
1479875,get the next token and moves the tokenizer to the following token,"What are the major differences between a Collection, an ArrayList, and a List in Java?",java.util.List.get,String . length Character . isDigit String . length Character . isDigit,string.length character.isdigit string.length character.isdigit,FALSE
995495,return the next group on given group list,"What are the major differences between a Collection, an ArrayList, and a List in Java?",java.util.List.get,List . size List . get List . size List . get,list.size list.get list.size list.get,FALSE
109282,calculate L1 <unk> distance between two vectors,Java AWT rotating ball,"java.lang.Math.cos,java.lang.Math.sin,java.lang.Math.cos,java.lang.Math.sin",ArrayList < Double > . size ArrayList < Double > . get Math . abs Math . sqrt,arraylist.size arraylist.get math.abs math.sqrt,FALSE
1075490,subtract two symbolic variables together,What are the differences between PHP and Java?,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put","Map < String , Double > . entrySet Entry < String , Double > . getKey Map < String , Double > . get Map < String , Double > . put Entry < String , Double > . getValue Map < String , Double > . put",map.entryset entry.getkey map.get map.put entry.getvalue map.put,FALSE
1475082,"from the class string of nested , extract only the class name of the top level",Java regexp substring extraction pattern,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . lastIndexOf String . substring Locale . getDefault String . toLowerCase String . equals String . substring,string.lastindexof string.substring locale.getdefault string.tolowercase string.equals string.substring,FALSE
1342981,unix style unzip,When are Java temporary files deleted?,"java.io.File.createTempFile,java.io.File.deleteOnExit,java.io.File.createTempFile,java.io.File.deleteOnExit",Runtime . getRuntime Process . getErrorStream Process . waitFor,runtime.getruntime process.geterrorstream process.waitfor,FALSE
1674271,"execute a query , returning the resultset Usage : R = query select <unk> ;",Java statement can't execute my query,"java.sql.Statement.executeQuery,java.sql.Statement.executeUpdate,java.sql.Statement.executeQuery,java.sql.Statement.executeUpdate",System . currentTimeMillis Statement . executeQuery System . currentTimeMillis,system.currenttimemillis statement.executequery system.currenttimemillis,FALSE
1705714,unlock tables held by the currently running thread,Anonymous threads deprecated entirely in Java?,"java.lang.Thread.currentThread,java.lang.Thread.interrupt,java.lang.Thread.currentThread,java.lang.Thread.interrupt","Thread . currentThread Map < String , List < String > > . get List < String > . contains List < String > . remove",thread.currentthread map.get list.contains list.remove,FALSE
1497352,currently just searches user dir and install dir s,Unique File name using system time in Java?,"java.io.File.createTempFile,java.io.File.deleteOnExit,java.io.File.createTempFile,java.io.File.deleteOnExit",String . length String . lastIndexOf String . substring String . length String . lastIndexOf String . substring,string.length string.lastindexof string.substring string.length string.lastindexof string.substring,FALSE
981126,return the first object that matches the given class and id,How to determine an object's class in Java?,java.lang.Object.getClass,List . isEmpty List . get,list.isempty list.get,FALSE
313468,show a collection of <unk> items,Java: is a final reference to an array of enums immutable?,"java.util.Collections.unmodifiableList,java.util.Arrays.asList,java.util.Collections.unmodifiableList,java.util.Arrays.asList",Collection . iterator Iterator . next,collection.iterator iterator.next,FALSE
1036749,return a hash code for this object,Is java's hashCode() deterministic?,"java.lang.Object.hashCode,java.lang.String.hashCode,java.lang.Object.hashCode,java.lang.String.hashCode",Long . hashCode String . hashCode,long.hashcode string.hashcode,FALSE
543208,verify file,Java Change File Working Directory,java.lang.System.setProperty,File . exists File . canRead File . length File . getAbsolutePath,file.exists file.canread file.length file.getabsolutepath,FALSE
998216,"return the last element in the list , i",who can access each LinkedHashMap from List Of LinkedHashMap,java.util.List.get,List . size List . get,list.size list.get,FALSE
1498463,create a new instance of version exchange with the specified client version string to send to server during the exchange,Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . length String . startsWith String . trim,string.length string.startswith string.trim,FALSE
1419650,this adds a slash matching the other slashes in the dir to the end of the dir if one isnt there already,Removing Characters within a string-Java,"java.lang.Character.isLetter,java.lang.Character.isDigit,java.lang.Character.isLetter,java.lang.Character.isDigit",String . charAt String . indexOf String . charAt,string.charat string.indexof string.charat,FALSE
987173,check if a string e,"How to match letters only using java regex, matches method?","java.util.regex.Pattern.compile,java.lang.String.matches,java.util.regex.Pattern.compile,java.lang.String.matches",List . iterator Iterator . next String . equals,list.iterator iterator.next string.equals,FALSE
1526792,parse the given command line arguments,Find a word in a line based on next word,"java.lang.String.split,java.util.Arrays.asList,java.lang.String.split,java.util.Arrays.asList",String . startsWith String . equals String . substring String . indexOf String . substring String . equals String . startsWith String . substring String . endsWith String . equals String . indexOf String . substring String . indexOf String . substring Integer . parseInt String . substring System . arraycopy,string.startswith string.equals string.substring string.indexof string.substring string.equals string.startswith string.substring string.endswith string.equals string.indexof string.substring string.indexof string.substring integer.parseint string.substring system.arraycopy,FALSE
981444,"return the workflow associated to an type , for the specified node",Access an ArrayList inside a Java Map,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put",List . isEmpty List . get,list.isempty list.get,FALSE
94185,add a new table to the catalog,"Which is the fastet and the most efficient implementation in java for updating object in a list if present, else add it",java.util.Map.put,ArrayList . remove ArrayList . add,arraylist.remove arraylist.add,FALSE
1561080,convert seq number this method takes a number and converts it into a string with the appropriate number of leading zeros based on the file num placeholders variable,"Creating a random 4 digit number, and storing it to a string",java.lang.String.valueOf,String . valueOf String . length,string.valueof string.length,FALSE
666827,return a <unk> from the given players <unk> list,Java - How expensive is a HashMap.get() call?,java.util.HashMap.get,"HashMap < String , List > . get String . equalsIgnoreCase",hashmap.get string.equalsignorecase,FALSE
1545509,remote the extension if it exists from the given filename and return the trimmed filename,Filter the URL path of images (img src) to obtain the file name,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . toLowerCase String . length String . substring,string.tolowercase string.length string.substring,FALSE
1458897,determine the <unk> mask from the local hosts tcp ip address,Java regexp substring extraction pattern,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . indexOf String . substring Integer . valueOf String . length String . substring String . length String . substring,string.indexof string.substring integer.valueof string.length string.substring string.length string.substring,FALSE
1187448,call by the threads in this node pool,How is task scheduling implemented?,"java.lang.Object.wait,java.lang.Object.notifyAll,java.lang.Object.wait,java.lang.Object.notifyAll",Object . notifyAll Object . wait,object.notifyall object.wait,FALSE
356184,get the type of database that is currently being used by the persistence engine,How do I take the end off of a String in Java/Android?,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",Connection . getMetaData Connection . close,connection.getmetadata connection.close,FALSE
294962,register a module to the api,HashMap have old value around till they stop being referenced,java.util.HashMap.put,Class . getName Map < Class > . put,class.getname map.put,FALSE
364485,delete the uri,Search for CharSequences between two CharSeqeunces (Java),"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",Connection . prepareStatement PreparedStatement . setString PreparedStatement . executeUpdate,connection.preparestatement preparedstatement.setstring preparedstatement.executeupdate,FALSE
998367,"return the value for the given index in the list , or null if out of bounds","What are the major differences between a Collection, an ArrayList, and a List in Java?",java.util.List.get,List . size List . get,list.size list.get,FALSE
1350226,check if is standard cover,Java if statement not being fulfilled,"java.lang.String.equalsIgnoreCase,java.lang.String.equals,java.lang.String.equalsIgnoreCase,java.lang.String.equals",Scanner . useDelimiter Scanner . hasNext Scanner . next String . toLowerCase Scanner . close Locale . getDefault,scanner.usedelimiter scanner.hasnext scanner.next string.tolowercase scanner.close locale.getdefault,FALSE
1487395,"check if the given string is title case , i",how to define an eclipse mask formatted text field?,"java.lang.Character.isLetter,java.lang.Character.isDigit,java.lang.Character.isLetter,java.lang.Character.isDigit",String . length String . charAt Character . isUpperCase,string.length string.charat character.isuppercase,FALSE
1114832,"convert from <unk> to <unk> coordinates after duffett smith , section 27",Java AWT rotating ball,"java.lang.Math.cos,java.lang.Math.sin,java.lang.Math.cos,java.lang.Math.sin",Math . sin Math . cos Math . atan2 Math . cos Math . sin Math . asin,math.sin math.cos math.atan2 math.cos math.sin math.asin,FALSE
1427213,a temporary hack to workaround our <unk> to create a document type tag,Regular expression to extract file name?,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . endsWith String . lastIndexOf Math . max String . substring,string.endswith string.lastindexof math.max string.substring,FALSE
1553410,convert a string to a boolean,Java if statement not being fulfilled,"java.lang.String.equalsIgnoreCase,java.lang.String.equals,java.lang.String.equalsIgnoreCase,java.lang.String.equals",String . trim String . equalsIgnoreCase,string.trim string.equalsignorecase,FALSE
1342068,"call this method , if you dont know , if you are in the event thread or not",How does static sleep method of Thread class work without access to 'this' reference?,"java.lang.Thread.currentThread,java.lang.Thread.sleep,java.lang.Thread.currentThread,java.lang.Thread.sleep",Runnable . run EventQueue . invokeAndWait,runnable.run eventqueue.invokeandwait,FALSE
760913,set the full 40 value,convert String to arraylist of integers using wrapper class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",Integer . toHexString Math . round Integer . toHexString,integer.tohexstring math.round integer.tohexstring,FALSE
1494406,return the filename suffix,easiest way to get every word except the last word from a string,"java.lang.String.lastIndexOf,java.lang.String.substring,java.lang.String.lastIndexOf,java.lang.String.substring",String . length String . contains String . length String . lastIndexOf String . substring,string.length string.contains string.length string.lastindexof string.substring,FALSE
1521491,parse the cmd action,Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt","String . split Map < String , Object > . get Integer . parseInt",string.split map.get integer.parseint,FALSE
351281,close the connection,Is it necessary to close connection and statement when method terminates?,java.lang.System.exit,Connection . close System . exit,connection.close system.exit,FALSE
1103431,compute the standard <unk> distribution with the method described in,What does a Type-Import-on-Demand Declaration import?,"java.lang.Math.cos,java.lang.Math.sin,java.lang.Math.cos,java.lang.Math.sin",Math . abs Math . asin Math . sin Math . exp Math . sin Math . exp Math . sqrt Math . exp Math . sqrt Math . exp Math . sqrt Math . exp,math.abs math.asin math.sin math.exp math.sin math.exp math.sqrt math.exp math.sqrt math.exp math.sqrt math.exp,FALSE
